group,Latvijas kanāli
nano,DANCE HD (720p),rtmp://91.201.78.3:1935/live/dancehd
ext,POP HD (720p),rtmp://91.201.78.3:1935/live/pophd
CapitalTV.uk,Capital TV (432p),http://ooyalahd2-f.akamaihd.net/i/globalradio01_delivery@156521/index_656_av-p.m3u8
PoloTV.pl,POLO TV Music (360p),rtmp://stream.smcloud.net:1935/live/polotv
ext,NR1 (270p),rtmp://mn-l.mncdn.com:1935/birnumaramedya_live/nr1tv.sdp
mbu,Music Box (360p),http://212.26.132.86/hls/mb_ua.m3u8
1hdru,ONE BY HD (1080p),http://rtmp.one.by:1300
ext,ONE BY 2HD (1080p),http://rtmp.one.by:2300
ext,Djing Ibiza HD (720p),http://www.djing.com/tv/d-05.m3u8
ext,Djing Underground HD (720p),http://www.djing.com/tv/u-05.m3u8
ext,Djing Classic HD (720p),http://www.djing.com/tv/i-05.m3u8
ext,Virgin TV (272p),rtmp://fms.105.net:1935/live/virgin2
ext,ELECTROSOUND TV (720p),http://www.electrosound.tv:1935/public/stream/chunklist.m3u8
RTL.de,RTL 102.5 TV (360p),http://origin-rtl-radio-stream.4mecloud.it/live-video/radiovisione/ngrp:radiovisione_mobile/playlist.m3u8
dotdance,Dot Dance (720p),http://live.dotdance.cdnvideo.ru/dotdance/dotdance.sdp/playlist.m3u8
4Music.uk,For Music (480p),http://wowza1.top-ix.org/quartaretetv1/formusicweb/index.m3u8
MADTV.gr,Mad TV (480p),rtmp://144.76.2.213:1935/live/livestream
MADTV.gr,Mad TV (480p),tvg-id="" tvg-logo="" tvg-name="" group-title="",
group,Ziņas
euro-en,EURONEWS (240p),rtsp://ewns-hls-b-stream.hexaglobe.net/rtpeuronewslive/en_vidan750_rtp.sdp
ABCNews.al,ABC News (360p),http://abclive.abcnews.com/i/abc_live4@136330/index_1200_av-b.m3u8
group,Citi kanāli
NASATV.us,Nasa TV (720p),http://nasatv-lh.akamaihd.net/i/NASA_101@319270/master.m3u8
AnimalPlanet.blt,Animal Planet (480p),http://80.80.160.168/live/1/live.m3u8
TravelChannel.blt,Travel Ch. (480p),http://80.80.160.168/live/3/live.m3u8
ext,SHO HD (720p),http://80.80.160.168/live/7/live.m3u8
Discovery.blt,Discovery Rus (576p),http://fr.cdn.edem.tv/iptv/MVR43UD8XWESKE/140/index.m3u8
DiscoverySci.mx,Discovery SCI. (720p),http://80.80.160.168/live/9/live.m3u8
Discovery.blt,Discovery (576p),http://51.255.70.112:8000/live/wayne/wayne/741.ts
BBC2.uk,BBC Two HD (1080p),http://51.255.70.112:8000/live/wayne/wayne/1478.ts
Channel4.uk,Channel 4 (576p),http://51.255.70.112:8000/live/wayne/wayne/763.ts
